,season,home_xGoals,home_shots,home_deep,home_ppda,home_fouls,home_total_xAssists,home_total_key_passes,home_total_xGoalsChain,away_xGoals,away_shots,away_deep,away_ppda,away_fouls,away_total_xAssists,away_total_key_passes,away_total_xGoalsChain,away_total_yellow_cards,home_redCards_binary,away_redCards_binary,home_yellowCards_cat,away_yellowCards_cat,home_shotsOnTarget_cat,away_shotsOnTarget_cat,home_corners_cat,away_corners_cat,home_total_blocked_shots_cat,away_total_blocked_shots_cat,home_total_saved_shots_cat,away_total_saved_shots_cat,time_category,away_rolling_xchain,home_discipline_score_avg,away_discipline_score_avg,gameresult
4019,2014,0.666489,11.0,4.0,12.7143,10.0,0.6118419161066404,10.0,1.250691961497068,0.941557,10.0,2.0,11.0,15.0,0.1935009304434061,6.0,1.2734076883643866,2,False,False,0,2,3,3,4,4,2,3,2,2,After Noon,3.319917713478206,-16.86206605826447,-18.862065713436944,1
5465,2014,1.16489,11.0,6.0,8.88,14.0,0.1501997895538807,4.0,0.6444497033953668,0.364811,5.0,2.0,10.1538,21.0,0.3057276876643304,2.0,0.9499850273132335,3,False,False,2,3,2,0,8,3,5,2,2,0,After Noon,3.086949195340274,-16.796607322608928,-18.99999677966156,1
4707,2014,2.40939,20.0,7.0,14.1053,8.0,1.7172024808824065,14.0,8.289555180817844,0.433199,7.0,3.0,14.5,16.0,0.31561361625790607,4.0,0.834703844040632,1,False,False,2,1,6,3,6,3,2,3,5,2,After Noon,4.093792363628743,-16.849997191667132,-18.899996850000523,1
5082,2014,0.465398,12.0,4.0,8.7917,13.0,0.31752690579742227,8.0,0.58479577396065,0.975523,19.0,1.0,6.6667,14.0,0.8458469621837138,14.0,1.34599250368774,1,False,False,4,1,5,4,5,6,3,8,4,4,Night,4.3714190300554,-16.81966937382469,-18.754095286213886,2
5083,2014,1.54124,12.0,12.0,6.5455,11.0,1.033722512423992,10.0,4.071725398302078,0.10804,3.0,0.0,18.3929,13.0,0.0341211333870888,2.0,0.0879673957824708,1,True,False,0,1,6,0,3,1,1,0,3,0,Night,4.077677978575227,-16.72580375390262,-19.096771113424012,2
5084,2014,1.91721,20.0,9.0,5.3784,19.0,1.607009463012219,14.0,8.799666404724121,0.673965,12.0,4.0,12.4,15.0,0.5397711712867024,11.0,1.3002200759947302,1,False,False,4,1,9,3,4,4,7,1,7,2,Night,5.462777774035927,-16.77777511463887,-19.01586999748095,2
5466,2014,2.58841,16.0,4.0,12.9355,12.0,1.785383746027947,13.0,5.90394131839275,0.835173,6.0,1.0,8.8214,10.0,0.608620047569275,4.0,3.182249873876572,2,False,False,0,2,5,2,5,9,4,2,5,1,Night,5.085086615011092,-16.953122351074633,-18.812497060547333,0
5085,2014,0.345435,9.0,0.0,10.5,11.0,0.1241964660584926,4.0,0.6271477146074175,3.01412,12.0,5.0,19.5625,14.0,1.8808521777391425,9.0,10.878746137022972,3,False,False,1,3,2,6,3,4,4,2,2,3,Night,4.354611172154543,-16.830766641420517,-18.676920203550736,0
5086,2014,0.612645,14.0,4.0,8.48,9.0,0.5121412165462974,11.0,1.7305671479552978,0.37841,8.0,4.0,21.5625,13.0,0.2369365440681577,5.0,0.3403149638324974,2,False,False,1,2,8,2,8,5,3,0,6,2,Night,3.575456808507441,-16.787876244261174,-18.621209299816773,2
4020,2014,1.31375,9.0,11.0,17.0,13.0,0.9741168934851886,7.0,6.238987840712073,0.901889,11.0,7.0,18.2222,7.0,0.8496016077697275,9.0,3.6900634169578552,1,False,False,1,1,4,3,6,7,1,4,1,3,Night,5.747004635632036,-16.850743753620335,-18.447758440633066,2
5087,2014,0.357337,8.0,3.0,6.92,13.0,0.2226069080643352,5.0,0.7531651174649592,0.901586,9.0,3.0,10.5938,17.0,0.8457713676616544,8.0,3.263678735587745,2,False,False,2,2,2,2,2,4,1,6,2,2,Night,4.334594714641571,-16.85293869809725,-18.338232597318736,1
5088,2014,1.31774,12.0,3.0,7.5556,17.0,0.364356823265552,7.0,1.904747754335403,1.31079,11.0,4.0,9.0769,11.0,0.8183245444670311,7.0,2.5941408444195986,2,False,False,3,2,3,4,2,3,4,3,2,5,Night,4.099740510806441,-16.840577269481553,-18.376808930897255,2
4708,2014,1.00422,12.0,2.0,9.0417,9.0,0.7876132978126408,9.0,2.97608813457191,2.30342,22.0,8.0,13.8148,12.0,1.464183069765568,15.0,6.079367801547054,3,False,False,2,3,3,9,3,6,2,7,1,6,Night,3.55348145365715,-16.98571185918402,-18.399997371428945,0
5467,2014,1.4381606323040954,20.0,7.0,6.8929,12.0,0.9985788151419758,16.0,9.796333633363252,0.699986,8.0,2.0,8.1667,16.0,0.6844947459176179,7.0,2.186881368979812,2,False,False,1,2,8,3,11,4,8,2,3,3,Night,4.265986960008741,-16.98591310057562,-18.225349545725415,2
5089,2014,1.96863,14.0,5.0,6.0667,18.0,0.8826033007353554,8.0,3.949644071981312,1.13196,17.0,4.0,15.3684,11.0,0.5963118514046065,11.0,2.2978202616795906,2,False,True,1,2,4,4,4,6,3,6,1,4,Night,2.371617018990218,-17.055553186728723,-18.23610857831825,2
4021,2014,0.513746,9.0,2.0,11.2963,10.0,0.3485383605584505,5.0,1.0642530499026182,0.467281,7.0,11.0,7.1429,14.0,0.38728101179003727,6.0,1.6598656848072988,2,False,False,2,2,3,2,3,6,2,3,3,1,Noon,1.9580590689554804,-17.013696299493656,-18.301367355977074,1
4709,2014,2.51429,15.0,5.0,4.8889,20.0,1.9767316728830349,11.0,4.487954623997211,1.29948,12.0,2.0,4.5854,13.0,1.1563540734350684,8.0,4.674364119768142,0,False,False,3,0,1,1,6,6,3,6,0,0,After Noon,2.8707542130723582,-17.135132819576647,-18.31080833637725,1
